title,cnx_id
Prealgebra,caa57dab-41c7-455e-bd6f-f443cda5519c
Elementary Algebra,0889907c-f0ef-496a-bcb8-2a5bb121717f
Intermediate Algebra,02776133-d49d-49cb-bfaa-67c7f61b25a1
College Algebra,9b08c294-057f-4201-9f48-5d6ad992740d
Algebra and Trigonometry,13ac107a-f15f-49d2-97e8-60ab2e3b519c
Precalculus,fd53eae1-fa23-47c7-bb1b-972349835c3c
Calculus Volume 1,8b89d172-2927-466f-8661-01abc7ccdba4
Calculus Volume 2,1d39a348-071f-4537-85b6-c98912458c3c
Calculus Volume 3,a31cd793-2162-4e9e-acb5-6e6bbd76a5fa
Introductory Statistics,30189442-6998-4686-ac05-ed152b91b9de
Anatomy and Physiology,14fb4ad7-39a1-4eee-ab6e-3ef2482e3e22
Astronomy,2e737be8-ea65-48c3-aa0a-9f35b4c6a966
Biology 2e,8d50a0af-948b-4204-a71d-4826cba765b8
Concepts of Biology,b3c1e1d2-839c-42b0-a314-e119a8aafbdd
Microbiology,e42bd376-624b-4c0f-972f-e0c57998e765
Chemistry 2e,7fccc9cf-9b71-44f6-800b-f9457fd64335
Chemistry: Atoms First 2e,d9b85ee6-c57f-4861-8208-5ddf261e9c5f
College Physics,031da8d3-b525-429c-80cf-6c8ed997733a
University Physics Volume 1,d50f6e32-0fda-46ef-a362-9bd36ca7c97d
University Physics Volume 2,7a0f9770-1c44-4acd-9920-1cd9a99f2a1e
University Physics Volume 3,af275420-6050-4707-995c-57b9cc13c358
Biology for AP® Courses,6c322e32-9fb0-4c4d-a1d7-20c95c5c7af2
The AP Physics Collection,8d04a686-d5e8-4798-a27d-c608e4d0e187
Fizyka dla szkół wyższych. Tom 1,4eaa8f03-88a8-485a-a777-dd3602f6c13e
Fizyka dla szkół wyższych. Tom 2,16ab5b96-4598-45f9-993c-b8d78d82b0c6
Fizyka dla szkół wyższych. Tom 3,bb62933e-f20a-4ffc-90aa-97b36c296c3e
American Government 2e,9d8df601-4f12-4ac1-8224-b450bf739e5f
Principles of Economics 2e,bc498e1f-efe9-43a0-8dea-d3569ad09a82
Principles of Macroeconomics 2e,27f59064-990e-48f1-b604-5188b9086c29
Principles of Microeconomics 2e,5c09762c-b540-47d3-9541-dda1f44f16e5
Psychology,4abf04bf-93a0-45c3-9cbc-2cefd46e68cc
Introduction to Sociology 2e,02040312-72c8-441e-a685-20e9333f3e1d
Principles of Macroeconomics for AP® Courses 2e,9117cf8c-a8a3-4875-8361-9cb0f1fc9362
Principles of Microeconomics for AP® Courses 2e,636cbfd9-4e37-4575-83ab-9dec9029ca4e
U.S. History,a7ba2fb8-8925-4987-b182-5f4429d48daa
Introduction to Business,4e09771f-a8aa-40ce-9063-aa58cc24e77f
Business Ethics,914ac66e-e1ec-486d-8a9c-97b0f7a99774
"Principles of Accounting, Volume 1: Financial Accounting",9ab4ba6d-1e48-486d-a2de-38ae1617ca84
"Principles of Accounting, Volume 2: Managerial Accounting",920d1c8a-606c-4888-bfd4-d1ee27ce1795
Introductory Business Statistics,b56bb9e9-5eb8-48ef-9939-88b1b12ce22f
Principles of Management,c3acb2ab-7d5c-45ad-b3cd-e59673fedd4e
Entrepreneurship,d380510e-6145-4625-b19a-4fa68204b6b1
Organizational Behavior,2d941ab9-ac5b-4eb8-b21c-965d36a4f296
Business Law I Essentials,464a3fba-68c1-426a-99f9-597e739dc911
