page_id,chapter,section,section_name,sentence_number,sentence
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,1,"Welcome to  University Physics , an OpenStax resource."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,2,"This textbook was written to increase student access to high-quality learning materials, maintaining highest standards of academic rigor at little to no cost."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,3,"About OpenStax   OpenStax is a nonprofit based at Rice University, and it's our mission to improve student access to education."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,4,Our first openly licensed college textbook was published in 2012 and our library has since scaled to over 25 books used by hundreds of thousands of students across the globe.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,5,"OpenStax Tutor, our low-cost personalized learning tool, is being used in college courses throughout the country."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,6,The OpenStax mission is made possible through the generous support of philanthropic foundations.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,7,"Through these partnerships and with the help of additional low-cost resources from our OpenStax partners, OpenStax is breaking down the most common barriers to learning and empowering students and instructors to succeed."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,8,"About OpenStax's resources   Customization    University Physics  is licensed under a Creative Commons Attribution 4.0 International (CC BY) license, which means that you can distribute, remix, and build upon the content, as long as you provide attribution to OpenStax and its content contributors."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,9,"Because our books are openly licensed, you are free to use the entire book or pick and choose the sections that are most relevant to the needs of your course."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,10,Feel free to remix the content by assigning your students certain chapters and sections in your syllabus in the order that you prefer.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,11,You can even provide a direct link in your syllabus to the sections in the web view of your book.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,12,Instructors also have the option of creating a customized version of their OpenStax book.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,13,The custom version can be made available to students in low-cost print or digital form through their campus bookstore.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,14,Visit your book page on OpenStax.org for more information.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,15,Errata   All OpenStax textbooks undergo a rigorous review process.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,16,"However, like any professional-grade textbook, errors sometimes occur."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,17,"Since our books are web based, we can make updates periodically when deemed pedagogically necessary."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,18,"If you have a correction to suggest, submit it through the link on your book page on OpenStax.org."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,19,Subject matter experts review all errata suggestions.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,20,"OpenStax is committed to remaining transparent about all updates, so you will also find a list of past errata changes on your book page on OpenStax.org."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,21,"Format   You can access this textbook for free in web view or PDF through OpenStax.org, and for a low cost in print."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,22,About  University Physics     University Physics  is designed for the two- or three-semester calculus-based physics course.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,23,"The text has been developed to meet the scope and sequence of most university physics courses and provides a foundation for a career in mathematics, science, or engineering."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,24,The book provides an important opportunity for students to learn the core concepts of physics and understand how those concepts apply to their lives and to the world around them.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,25,"Due to the comprehensive nature of the material, we are offering the book in three volumes for flexibility and efficiency."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,26,Coverage and scope  Our  University Physics  textbook adheres to the scope and sequence of most two- and three-semester physics courses nationwide.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,27,We have worked to make physics interesting and accessible to students while maintaining the mathematical rigor inherent in the subject.
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,28,"With this objective in mind, the content of this textbook has been developed and arranged to provide a logical progression from fundamental to more advanced concepts, building upon what students have already learned and emphasizing connections between topics and between theory and applications."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,29,"The goal of each section is to enable students not just to recognize concepts, but to work with them in ways that will be useful in later courses and future careers."
1a87e4af-d3b2-4c23-981c-d33ca2fed9b2@21,0.0,1.0,Preface,30,The organization and pedagogical features were developed and vetted with feedback from science educators dedicated to the project.
